Item,IPA,Example
Marcaine,ˈtʌrtəl,The nurse inserted Marcaine into the procedure kit.
Minipress,ˈgɑːrdən,The system flagged Minipress for review in the training session.
Mycobutin,ˈlædər,The specialist revised Mycobutin entries in the mock record.
Myfembree (Co-promote with Myovant Sciences),ˈstrɔːbɛri,The coordinator added Myfembree to the practice formulary.
Nyvepria,ˈpɪdʒən,The team scanned Nyvepria during the rotation exercise.
Provera,ˈmʌsl̩,The pharmacist prepped Provera for the afternoon drill.
Quelicin,ˈdaɪnə,The clinician logged Quelicin for the demonstration kit.
Tobramycin,ˈleɪmə,The intern added Tobramycin to the training inventory.
Unasyn,ˈhæmə,The staff listed Unasyn in the afternoon practice audit.
Xalkori,ˈpærət,The researcher marked Xalkori during system testing.
Azulfidine,ˈkʌpkeɪk,The technician filed Azulfidine in the C-cabinet practice bay.
Cleocin,ˈkoʊstəl,The pharmacist checked Cleocin before ending the mock session.
CLEOCIN T,ˈflaʊər,The nurse added CLEOCIN T to the topical teaching tray.
Docetaxel,ˈbluːbɜːd,The team logged Docetaxel in the oncology training kit.
Ertapenem for Injection,ˈbeɪsən,The trainee prepared Ertapenem for the practice infusion.
Fluconazole,ˈpænstər,The assistant labeled Fluconazole during the dry-run.
GelFoam,ˈkræbæpəl,The technician added GelFoam to the simulation pack.
Metronidazole,ˈmɛlədi,The pharmacist staged Metronidazole during the mock procedure.
Paclitaxel,ˈtrampəl,The unit logged Paclitaxel in the case-review set.
Rapamune,ˈsɪlvə,The coordinator included Rapamune in the monthly practice report.
Trazimera,ˈmɛdoʊ,The team placed Trazimera on tray seven for the exercise.
Vfend,ˈpʌndɪt,The specialist signed off Vfend in the evening check.
Vitamin K1,ˈblɛktən,The assistant stored Vitamin K1 in the secure simulation area.
Adcetris,ˈɡlɪtə,The pharmacist updated the Adcetris dispensing logs.
Cefazolin,ˈwɔːlən,The clerk sorted Cefazolin for redistribution training.
Ceftriaxone,ˈsmʌðər,The trainee logged Ceftriaxone during the handling module.
Cutaquig,ˈbrɪkəl,The inventory staff added Cutaquig to the rotation list.
Elrexfio,ˈglæmrəs,The staff documented Elrexfio in the allocation review.
Feldene,ˈbʌtər,The technician labeled Feldene during the morning check.
Heparin Sodium,ˈskræmbəl,The nurse placed Heparin Sodium in the supply drawer.
Meropenem,ˈtʃɪmni,The lab added Meropenem to the testing rack.
Midazolam,ˈpɛbəl,The resident practiced dosing Midazolam in the simulation.
Penicillin G Procaine,ˈflaʊər,The trainee updated the Penicillin G Procaine entry.
Pfizer General,ˈsnoʊɡloʊb,The pharmacist reviewed the Pfizer General batch.
Prostin VR Pediatric,ˈlɛtɚ,The clinic added Prostin VR Pediatric to today’s protocol.
Vibramycin Hyclate,ˈspɪnɚ,Storage staff moved Vibramycin Hyclate to the cold room.
Accupril,ˈtʃɔklət,The technician entered Accupril into the log sheet.
Atgam,ˈbriskɪt,The nurse prepared Atgam for the demonstration round.
Bupivacaine Hydrochloride,ˈbʌkɪt,The pharmacist verified Bupivacaine Hydrochloride.
Buprenorphine Hydrochloride,ˈstardʒ,The team placed Buprenorphine Hydrochloride in secure storage.
Deferoxamine Mesylate,ˈhɛdəfʊl,The intern recorded Deferoxamine Mesylate on the audit sheet.
Erythrocin,ˈpʊdɪŋ,The trainee stocked Erythrocin in the third cabinet.
Lomotil,ˈsæntæp,Lomotil was added to the mock distribution tray.
Ondansetron,ˈspɪrɪt,The clinic pulled Ondansetron for the training exercise.
Piperacillin and Tazobactam,ˈfɛðɚ,The instructor reviewed Piperacillin and Tazobactam with the class.
R-Gene 10,ˈtʊktʊk,The coordinator placed R-Gene 10 on the simulation cart.
Sodium Acetate,ˈstɜːdɪ,The team logged Sodium Acetate into the system.
Sodium Bicarbonate,ˈpænsəl,The trainee arranged Sodium Bicarbonate on the shelf.
Sterile Empty Vial,ˈwɪndməɪl,The technician counted each Sterile Empty Vial carefully.
Vistaril,ˈkæriən,The nurse added Vistaril to the transport tray.
Aldactazide,ˈmɛloʊdɪ,The pharmacist checked Aldactazide during restocking.
Bacteriostatic 0.9% Sodium Chloride,ˈfɒgstəp,The team prepared Bacteriostatic Sodium Chloride for the drill.
Beqvez,ˈheɪloʊ,The specialist logged Beqvez in the study register.
Besponsa,ˈflɪpɚ,The oncologist included Besponsa in the session plan.
Camptosar,ˈtʃɪpmənk,The resident reviewed Camptosar instructions.
Cyklokapron,ˈspæroʊ,The trainee added Cyklokapron to the procedure set.
Dilantin,ˈglɪtɚ,The neurologist filed a Dilantin update.
Diltiazem Hydrochloride,ˈtrɛmɚ,Inventory staff organized Diltiazem Hydrochloride.
Elelyso,ˈpɪlɚ,The team registered Elelyso for tomorrow’s rotation.
Ellence,ˈswaɪpɚ,The specialist placed Ellence in cabinet B.
Eraxis,ˈklæpɪn,The nurse added Eraxis to the antifungal kit.
Gentamicin Sulfate,ˈmʌdlɚ,The technician labeled Gentamicin Sulfate.
Hextend,ˈbʊmɚ,The instructor reviewed Hextend with the group.
Nalbuphine Hydrochloride,ˈblɪŋkɪt,The trainee secured Nalbuphine Hydrochloride in the locked case.
Oxaliplatin,ˈhæmɚ,The unit prepared Oxaliplatin for the oncology block.
Premarin IV,ˈflaɪwɪl,The clinic performed a Premarin IV mock preparation.
Segluromet,ˈspraɪtlɪ,The pharmacist recorded Segluromet usage.
Sutent,ˈpɹɛzl,Sutent was added to the oncology tracking board.
Synarel,ˈdʒɪglɚ,The trainee organized Synarel for the next round.
Tazicef,ˈkrækɚ,Staff logged Tazicef into the antibiotic kit.
Topotecan,ˈbændɪt,The team prepared Topotecan for simulation day.
Verapamil Hydrochloride,ˈtrʌmpɪt,The nurse documented Verapamil Hydrochloride dosing practice.
Zinc Chloride,ˈskʌtl,The technician moved Zinc Chloride to the metals cabinet.
Aminocaproic Acid,ˈbræmbəl,The clerk placed Aminocaproic Acid on the audit sheet.
Atropine Sulfate,ˈspɹaɪt,The senior nurse logged Atropine Sulfate for rehearsal.
Aztreonam,ˈtʃɪlɚ,The trainee added Aztreonam during antimicrobial training.
Bumetanide,ˈdʒʌmpɪŋ,The technician marked Bumetanide during a jumping-style equipment audit.
Busulfan,ˈklerɪtɪ,The team logged Busulfan while completing a clarity check.
Cefepime for Injection,ˈbæskɪt,The nurse prepared Cefepime for Injection during a basket-handling drill.
Celontin,ˈflaʊtɪŋ,The resident added Celontin to the floating inventory list.
Cerebyx,ˈspærəʊ,The pharmacist reviewed Cerebyx as part of a sparrow-coded workflow.
Cleocin Pediatric,ˈtʃɪmni,The trainee stored Cleocin Pediatric in the chimney-labelled cabinet.
Cytotec,ˈmɛlədoʊ,The supervisor logged Cytotec during a melody-pattern inspection.
Daurismo,ˈgrævl,The coordinator added Daurismo to the gravel-tagged tray.
Dopamine,ˈfɛðər,The doctor referenced Dopamine while completing the feather group audit.
Fragmin,ˈkænvəs,The specialist placed Fragmin in the canvas section during the mock review.
Gel-Flow,ˈlænʃtər,The technician updated Gel-Flow in the lanchester filing row.
Gel-Flow KIT,ˈvɪskə,The staff staged Gel-Flow KIT during the visca-labelled supply rotation.
Hemabate,ˈbrɪskl,The nurse organized Hemabate in the briskle-coded storage drawer.
Idamycin PFS,ˈskwɪbəl,The analyst sorted Idamycin PFS on the squibble board.
Irinotecan Hydrochloride,ˈtandər,The team added Irinotecan Hydrochloride during the thunder-cycle check.
Linezolid in 0.9% Sodium Chloride,ˈkræmbəl,The unit prepared Linezolid in 0.9% Sodium Chloride during a crumble-protocol drill.
Magnesium Sulfate,ˈsnoʊplæŋk,The trainee placed Magnesium Sulfate in the snowplank section.
Mannitol,ˈwʌrbl,The technician logged Mannitol after the warble-shift inspection.
Plegisol,ˈgʊmstə,The clinician stored Plegisol in the gumster compartment.
Thrombi-Gel,ˈtʃæplɪn,The assistant added Thrombi-Gel to the chaplin-coded kit.
Trecator,ˈskraɪvən,The pharmacist reviewed Trecator on the scriven shelf.
Tygacil,ˈfruːdəl,The team prepared Tygacil during the froodle-phase practice run.
Vincristine Sulfate,ˈbrɛstvɪk,The oncology unit filed Vincristine Sulfate under the brestvik category.
Vizimpro,ˈklɪmpə,The coordinator added Vizimpro to the climpa-tagged manifest.
Xyntha Solofuse,ˈspɛlɪɡ,The intern registered Xyntha Solofuse in the spellig storage block.
